Timestamp,x,y,z,alpha,beta,gamma,keyPressed,key_x,key_y,key_down,key_released
112106010915668,0.12201214,0.11937311,0.7184348,0.2025299,-0.09477234,-0.02609253,KEYCODE_0,989.0,1014.0,105897542,105897616
112106615163715,0.05483246,0.12186395,-0.021548748,0.18234253,-0.007797241,-0.06359863,KEYCODE_8,1057.0,856.0,105898083,105898140
112107138845356,0.01817131,0.087603524,0.21464825,0.1865387,-0.020751953,5.493164E-4,KEYCODE_9,1574.0,862.0,105898789,105898863
112107863943012,0.10202217,0.092989765,-0.0105929375,0.2084198,-0.02822876,-0.029022217,KEYCODE_6,1527.0,715.0,105899321,105899395
112108392660053,-0.0011968613,0.051939085,-0.13935423,0.15623474,-0.05895996,-0.033981323,KEYCODE_9,1427.0,864.0,105899861,105899919
112108916341694,0.07167435,0.020346835,0.5912657,-0.102264404,0.08244324,0.009246826,KEYCODE_4,276.0,711.0,105900410,105900509
112109505483540,0.03574848,0.03231605,0.47613,-0.123031616,0.09529114,0.0065460205,KEYCODE_1,255.0,598.0,105901000,105901074
112110074483784,0.02788353,0.07016879,-0.12243748,0.02999878,-0.03236389,-0.023773193,KEYCODE_5,1038.0,721.0,105901574,105901614
112110608236225,0.055849075,-0.06389305,0.25789642,0.07728577,-0.09037781,-0.0024108887,KEYCODE_0,1021.0,994.0,105902155,105902230
112111227590473,0.029288292,0.065539435,9.3078613E-4,0.18634033,-0.07157898,-0.040664673,KEYCODE_8,1085.0,840.0,105902721,105902778
112111776449116,0.021656036,0.19287705,0.03730154,0.2050476,-0.078689575,-0.04798889,KEYCODE_3,1489.0,556.0,105903303,105903377
112112375652256,0.0014476776,0.0034224242,0.23724365,-0.039093018,0.019882202,0.0058288574,KEYCODE_4,290.0,735.0,105903901,105904000
112112995006504,0.04274845,0.09483631,-0.009542942,0.13008118,-0.030441284,-0.027755737,KEYCODE_3,1501.0,605.0,105904450,105904532
112113533794346,0.03726387,-0.03745465,0.23491526,0.1990509,-0.0839386,-0.017089844,KEYCODE_3,1543.0,597.0,105905098,105905181
112114178325596,0.01844883,0.049055837,0.12947845,-0.014007568,0.021636963,-0.0056152344,KEYCODE_4,254.0,733.0,105905680,105905796
112114792644444,0.0017681122,-0.044905007,0.17633963,0.21707153,-0.02128601,-0.033218384,KEYCODE_5,1021.0,733.0,105906262,105906328
112115326396885,-0.033971786,-0.11490472,0.24265385,0.18040466,-0.07548523,-0.028030396,KEYCODE_3,1487.0,616.0,105906786,105906852
112115845043125,0.2007122,0.3115584,0.10242939,0.21806335,-0.082733154,-0.089141846,KEYCODE_2,1046.0,611.0,105907409,105907475
112116474468174,0.061032295,0.02532868,-0.09475851,-0.07362366,0.08093262,-0.024612427,KEYCODE_4,282.0,717.0,105907950,105908024
112117018291416,0.0013713837,0.004491478,0.47161388,0.17741394,-0.10020447,0.016204834,KEYCODE_0,977.0,1007.0,105908548,105908631
112117627574864,-0.005133629,0.07381216,-0.13062334,0.07261658,-0.043167114,-0.032806396,KEYCODE_5,1053.0,720.0,105909072,105909121
112118116008702,-0.02033043,0.08414339,0.49312544,-0.051330566,0.06843567,-0.017440796,KEYCODE_4,300.0,716.0,105909679,105909770
112118770610752,0.00675869,-0.015050441,0.31909895,-0.06695557,0.081970215,-0.0066833496,KEYCODE_4,298.0,709.0,105910460,105910526
112119525920811,0.037571907,0.11915216,0.50561476,0.264328,-0.10543823,-0.049194336,KEYCODE_8,1029.0,875.0,105911051,105911108
112120104991856,0.10025406,0.08569741,0.3215866,0.08641052,-0.046798706,-0.042373657,KEYCODE_5,1071.0,733.0,105911558,105911623
112120618602696,0.054457664,0.13378735,-0.15976429,-0.056625366,0.02520752,-0.051620483,KEYCODE_2,1041.0,576.0,105912156,105912205
112121202709141,-0.008029938,-0.0034838617,-0.12695646,-0.069992065,0.007797241,-0.008544922,KEYCODE_1,249.0,590.0,105912763,105912846
112121842204991,0.028567314,0.053606585,0.44910336,0.13951111,-0.17378235,-0.04055786,KEYCODE_3,1434.0,597.0,105913254,105913311
112122305476039,-0.008737564,-0.018470034,-0.06326723,-0.09597778,0.06704712,0.006866455,KEYCODE_1,248.0,579.0,105913819,105913877
112122874476283,0.017832756,0.09677757,-0.0044078827,-0.16040039,0.0725708,0.015365601,KEYCODE_7,334.0,872.0,105914401,105914483
112123478724330,0.08612347,0.13353793,0.18937445,0.26631165,-0.13308716,-0.032928467,KEYCODE_6,1356.0,739.0,105914958,105915024
112124022547572,0.07234573,0.05969599,0.10448408,0.09303284,-0.115493774,-0.005874634,KEYCODE_8,949.0,905.0,105915531,105915581
