id,Timestamp,x,y,z,a,b,c,alpha,beta,gamma,x_ra,y_ra,z_ra
8661,1485113696702,-0.020026207,-0.054498076,0.11457586,-0.014572144,0.0020446777,-0.0022125244,8.416321,-6.7711535,38.44922,5.8821106,0.81085205,7.4816895
8662,1485113696707,0.0014572144,-0.05608493,0.04743147,-0.010177612,0.0014190674,-0.003540039,8.426117,-6.7626243,38.44427,5.8805084,0.81710815,7.4344482
8663,1485113696713,-0.012637138,-0.07206321,0.013914585,-0.0042877197,0.0021514893,-0.003921509,8.428528,-6.7560854,38.44249,5.8780518,0.8048096,7.3885193
8664,1485113696717,-0.03125,-0.095198214,0.023123264,0.0015411377,0.0047912598,-0.003921509,8.440247,-6.750661,38.44118,5.859909,0.7825012,7.3849945
8665,1485113696722,-0.023649216,-0.09936166,0.03219366,0.0045928955,0.007232666,-0.0023651123,8.445923,-6.7452464,38.438274,5.859741,0.7723694,7.394577
8666,1485113696727,-0.042004585,-0.10822487,0.0057229996,0.0059509277,0.0093688965,-0.0010070801,8.453461,-6.740254,38.434673,5.8478546,0.7641449,7.3781586
8667,1485113696732,-0.043650627,-0.055606723,-0.032360077,0.0054626465,0.009963989,7.6293945E-5,8.462036,-6.7349443,38.430637,5.840912,0.7998657,7.3431396
8668,1485113696737,-0.042905807,-0.048183918,6.661415E-4,0.0044403076,0.009963989,0.0025634766,8.478424,-6.733029,38.427273,5.8402863,0.81881714,7.355835
8669,1485113696742,-0.03986931,-0.054861307,-0.006676674,0.0033416748,0.009963989,0.0051116943,8.489166,-6.730596,38.422752,5.8419952,0.81588745,7.361084
8670,1485113696747,-0.003832817,-0.05428022,-0.035199165,0.001449585,0.008361816,0.007293701,8.497253,-6.726856,38.41909,5.869446,0.81391907,7.337677
8671,1485113696752,0.015314102,-0.08424711,-0.0044350624,-0.0015106201,0.007019043,0.008636475,8.498779,-6.7224364,38.417934,5.892761,0.7905121,7.353943
8672,1485113696757,0.022431374,-0.016962588,-0.03291273,-0.006362915,0.005126953,0.011352539,8.534088,-6.7147703,38.41719,5.9028473,0.83377075,7.3397217
8673,1485113696762,0.012917042,-0.044403017,-0.039899826,-0.011734009,0.004623413,0.012924194,8.530731,-6.7099833,38.417915,5.897232,0.82766724,7.3274384
8674,1485113696767,-0.02717781,-0.0076773763,0.04282713,-0.013748169,0.0053863525,0.013168335,8.52536,-6.701498,38.418945,5.8659973,0.8466644,7.385559
8675,1485113696773,0.06285381,-0.013832808,0.056450367,-0.015670776,0.004058838,0.013168335,8.531586,-6.6931434,38.41544,5.9234467,0.85131836,7.4199677
