id,Timestamp,x,y,z,a,b,c,alpha,beta,gamma
5407,13640892329677,-0.09352684,-0.093588054,-0.25225067,0.014862061,-0.016021729,0.018417358,245.97643,-7.9318814,44.829903
5408,13640897304042,-0.041437626,-0.09260827,-0.256639,0.00819397,-0.014907837,0.019302368,246.00113,-7.9268265,44.843357
5409,13640902308925,-0.017938614,-0.105552554,-0.12900352,0.0010375977,-0.0021209717,0.019500732,245.98563,-7.917225,44.851707
5410,13640907283290,-0.079144,-0.10400128,0.046637535,-0.0037231445,0.01550293,0.020004272,245.95995,-7.9034777,44.847538
5411,13640912654384,-0.03531027,-0.1070174,0.13042593,-0.005630493,0.033920288,0.01838684,245.92976,-7.8864446,44.83624
5412,13640917262538,0.003844738,-0.074686885,0.057323456,-0.0058898926,0.04347229,0.019760132,245.90984,-7.872713,44.825275
5413,13640922236903,0.07116842,0.011745453,0.046025753,-0.0016937256,0.033554077,0.021911621,245.90082,-7.8643713,44.81529
5414,13640927211268,0.06668615,0.021815896,0.08719969,0.0063476563,0.014450073,0.023086548,245.891,-7.8577623,44.807323
5415,13640932216151,0.08284092,0.033886194,-0.012917519,0.015014648,-0.0062713623,0.020690918,245.88866,-7.8561687,44.809006
5416,13640937221034,0.1241889,0.017194748,-5.683899E-4,0.021026611,-0.021820068,0.017028809,245.88545,-7.8569345,44.817333
5417,13640942592128,0.14112186,0.040383577,-0.13179636,0.028656006,-0.027389526,0.012283325,245.89497,-7.8645735,44.83484
5418,13640947200282,0.10839319,0.07252067,-0.1840434,0.034088135,-0.024291992,0.008010864,245.9126,-7.8775744,44.85242
5419,13640952205165,0.13505697,0.019043684,-0.23591089,0.037521362,-0.015380859,0.0021362305,245.92773,-7.890357,44.872154
5420,13640957179530,0.1051712,-0.029523969,-0.13184023,0.038009644,-0.007171631,-0.001876831,245.92174,-7.90052,44.88454
5421,13640962184413,0.11590624,-0.07073665,-0.09967804,0.03816223,-0.0031738281,-0.004501343,245.92148,-7.908287,44.894283
5422,13640967158778,0.12593794,-0.029924095,-0.08112764,0.041503906,0.005004883,-0.00579834,245.92282,-7.9277725,44.909134
5423,13640977138026,0.026004791,-0.08774644,-0.03802538,0.034576416,0.017730713,-0.008071899,245.94174,-7.933958,44.90962
5424,13640982142909,-0.006547451,-0.06947881,0.046742916,0.02204895,0.031066895,-0.009536743,245.93277,-7.9394407,44.901913
5425,13640987117274,-0.007739544,-0.048610687,0.0972991,0.007659912,0.037200928,-0.00881958,245.92395,-7.94201,44.888794
5426,13640992122157,0.01010561,-0.07226348,0.019750595,-0.008514404,0.033187866,-0.006652832,245.91533,-7.9391003,44.87796
5427,13640997096522,0.006365299,-0.07386011,0.056262016,-0.02607727,0.02230835,-0.005264282,245.93567,-7.9305935,44.86736
5428,13641002467616,-3.9100647E-5,-0.07004899,0.028977394,-0.042510986,0.008331299,-0.005584717,245.92639,-7.9171653,44.860374
5429,13641007075770,-0.023452759,-0.091869116,0.21958303,-0.056732178,-0.0063323975,-0.0063323975,245.90604,-7.897755,44.850525
5430,13641012080653,0.019003391,-0.13190162,0.35230446,-0.061691284,-0.01574707,-0.00592041,245.87685,-7.870436,44.84131
5431,13641017055018,0.04666233,-0.12661988,0.44877815,-0.05644226,-0.02029419,-0.0040130615,245.86974,-7.841764,44.832066
5432,13641022059901,0.11170626,-0.090822875,0.4147911,-0.04118347,-0.023529053,-0.00289917,245.84521,-7.8172884,44.827534
5433,13641027034266,0.08640385,-0.03459531,0.22546434,-0.020904541,-0.02748108,-0.0054016113,245.8356,-7.8032846,44.82943
