DownTime,EventTime,Keypress
13525389000000,13525455000000,KEYCODE_7
13525922000000,13525963000000,KEYCODE_6
13526414000000,13526505000000,KEYCODE_1
13526964000000,13527021000000,KEYCODE_2
13527481000000,13527563000000,KEYCODE_1
13527989000000,13528056000000,KEYCODE_8
13528498000000,13528573000000,KEYCODE_3
13528982000000,13529073000000,KEYCODE_7
13529457000000,13529532000000,KEYCODE_4
13530025000000,13530132000000,KEYCODE_0
13530550000000,13530616000000,KEYCODE_9
13531100000000,13531166000000,KEYCODE_6
13531584000000,13531658000000,KEYCODE_5
13532100000000,13532133000000,KEYCODE_8
13532625000000,13532683000000,KEYCODE_2
13533167000000,13533258000000,KEYCODE_0
13533717000000,13533800000000,KEYCODE_1
13534250000000,13534300000000,KEYCODE_3
13534767000000,13534842000000,KEYCODE_6
13535284000000,13535342000000,KEYCODE_5
13535792000000,13535867000000,KEYCODE_9
13536351000000,13536417000000,KEYCODE_4
13536859000000,13536950000000,KEYCODE_7
13537401000000,13537483000000,KEYCODE_0
13537968000000,13538075000000,KEYCODE_7
13538534000000,13538600000000,KEYCODE_3
13539018000000,13539092000000,KEYCODE_5
13539593000000,13539659000000,KEYCODE_9
13540160000000,13540226000000,KEYCODE_6
13540710000000,13540784000000,KEYCODE_2
13541393000000,13541501000000,KEYCODE_1
13541943000000,13542026000000,KEYCODE_4
13542493000000,13542584000000,KEYCODE_8
13543118000000,13543218000000,KEYCODE_3
13543702000000,13543784000000,KEYCODE_9
13544427000000,13544526000000,KEYCODE_7
13544985000000,13545077000000,KEYCODE_4
13545552000000,13545643000000,KEYCODE_5
13546152000000,13546252000000,KEYCODE_1
13546761000000,13546860000000,KEYCODE_0
13547369000000,13547419000000,KEYCODE_2
13547919000000,13547977000000,KEYCODE_6
13548420000000,13548494000000,KEYCODE_8
13549012000000,13549078000000,KEYCODE_8
13549521000000,13549595000000,KEYCODE_6
13550096000000,13550170000000,KEYCODE_0
13550638000000,13550695000000,KEYCODE_3
13551097000000,13551154000000,KEYCODE_5
13551614000000,13551705000000,KEYCODE_1
13552206000000,13552280000000,KEYCODE_2
13552765000000,13552814000000,KEYCODE_9
13553240000000,13553348000000,KEYCODE_4
13553958000000,13554049000000,KEYCODE_7
13554500000000,13554533000000,KEYCODE_9
13554992000000,13555100000000,KEYCODE_1
13555551000000,13555609000000,KEYCODE_3
13556019000000,13556085000000,KEYCODE_8
13556553000000,13556652000000,KEYCODE_7
13557111000000,13557169000000,KEYCODE_2
13557620000000,13557719000000,KEYCODE_0
13558154000000,13558195000000,KEYCODE_5
13558629000000,13558670000000,KEYCODE_6
13559112000000,13559212000000,KEYCODE_4
13559713000000,13559804000000,KEYCODE_4
13560321000000,13560396000000,KEYCODE_2
13560821000000,13560921000000,KEYCODE_9
13561413000000,13561488000000,KEYCODE_7
