Timestamp,x,y,z,a,b,c,alpha,beta,gamma
1482277609647,-0.025063515,-0.0021516085,-0.052952766,0.004135132,0.013381958,-0.0018005371,167.17291,11.267005,-71.4989
1482277609652,0.020115852,-0.020795524,-0.023776531,-3.6621094E-4,0.009429932,-0.003768921,167.18005,11.276422,-71.50171
1482277609660,-0.0035743713,-0.04621148,-0.046858072,-0.0057373047,0.0072784424,-0.0050354004,167.19397,11.2929125,-71.50501
1482277609662,-0.029446602,-0.052445114,0.008113146,-0.010726929,0.0055236816,-0.0066070557,167.20917,11.310124,-71.50582
1482277609668,-0.02200985,-0.08213776,-0.019833326,-0.013534546,0.0064849854,-0.0061187744,167.23218,11.335001,-71.50836
1482277609673,0.025530815,-0.066756785,0.035176277,-0.014877319,0.011169434,-0.0077056885,167.25305,11.355814,-71.50845
1482277609678,0.023124695,-0.0632565,0.023706913,-0.017852783,0.012756348,-0.00680542,167.27417,11.37763,-71.50954
1482277609682,0.025449753,-0.019639134,-0.016019821,-0.018188477,0.011932373,-0.0070495605,167.27838,11.394259,-71.51262
1482277609686,0.030098915,-0.0023584962,-0.0011782646,-0.016021729,0.011398315,-0.007873535,167.28992,11.40747,-71.51477
1482277609693,0.006337166,0.038279057,0.10308361,-0.013031006,0.008682251,-0.00730896,167.29352,11.408835,-71.512085
1482277609698,0.0016098022,-0.025413632,0.036345243,-0.007736206,0.004714966,-0.0054626465,167.30457,11.418954,-71.51104
1482277609702,0.0016155243,-0.017892778,0.055032015,-0.003036499,0.002319336,-0.0046691895,167.31793,11.424516,-71.50868
1482277609707,0.018146515,-0.01756233,3.809929E-4,0.0010070801,0.002319336,-0.0046691895,167.32434,11.430847,-71.50861
1482277609712,-0.010316849,-0.024429083,4.3535233E-4,0.0067443848,0.0019836426,-0.004333496,167.3294,11.436002,-71.5088
1482277609718,-0.031489372,-0.0054180026,0.052309275,0.01222229,2.4414063E-4,-0.0029296875,167.3288,11.433619,-71.5066
1482277609723,-0.043064117,0.0062561035,0.0068850517,0.015472412,-0.001953125,-0.0014648438,167.33069,11.428783,-71.50639
1482277609727,-0.04979801,0.05083263,-0.021576166,0.017959595,-9.613037E-4,-0.0014648438,167.31757,11.417402,-71.50842
