"id","Timestamp","alpha","beta","gamma","SqSumA","SqSumG","SqSumO","MagnA","MagnG","MagnO","XdeltaA","YdeltaA","ZdeltaA","XdeltaG","YdeltaG","ZdeltaG","belongsToKey","xA","yA","zA","xG","yG","zG"
7197,19849619754655,245.30008,-8.80629,64.24439,0.00584591492057881,0.00165145426897359,64377.0216380426,0.0764585830406163,0.0406380888942085,253.726273054334,-0.030725479,0.026190162,0.02249098,0.00531006,0.0026397705,-0.00402832,FALSE,0.011964798,0.012215853,0.07452202,-0.03604126,0.013381958,-0.013168335
7198,19849625095231,245.30724,-8.803423,64.236786,0.00987849136596433,0.0013088670660218,64379.5069285443,0.0993905999879482,0.0361782678692859,253.731170589158,0.044904709,-0.023829401,0.006159304,0.004974365,-0.004486084,-0.003097535,FALSE,0.056869507,-0.011613548,0.080681324,-0.031066895,0.008895874,-0.01626587
7199,19849629703385,245.3341,-8.801692,64.232346,0.00364277791224942,0.00103108141255329,64392.0846775366,0.0603554298489325,0.0321104564363898,253.755954959754,-0.0547676088,-0.02617681,-0.033668041,0.005142212,-0.0103607178,-0.00262451,FALSE,0.0021018982,-0.037790358,0.047013283,-0.025924683,-0.0014648438,-0.01889038
7200,19849634677750,245.339,-8.800865,64.23056,0.00496143931345686,0.000774006584953189,64394.2449836618,0.0704374851443239,0.0278209738318627,253.760211584996,-0.0709352482,0.028227568,-0.035525799,0.006484986,-0.0056152342,0.000289915999999998,FALSE,-0.06883335,-0.00956279,0.011487484,-0.019439697,-0.007080078,-0.018600464
7201,19849639652116,245.34909,-8.805859,64.23,0.00658475313602933,0.000567238294505358,64399.212016556,0.081146491828232,0.0238167649882464,253.769998259361,0.0524168,-0.021745325,0.061553956,0.006774902,-0.001144409,0.000183105999999999,FALSE,-0.01641655,-0.031308115,0.07304144,-0.012664795,-0.008224487,-0.018417358
7202,19849644656998,245.35413,-8.809555,64.227806,0.0132634180131434,0.000435490155909348,64401.4684309286,0.11516691370851,0.0208684008948781,253.774444006737,-0.02816677,-0.07368946,-0.05719042,0.007537842,0.0049285886,-0.001541138,FALSE,-0.04458332,-0.104997575,0.01585102,-0.005126953,-0.0032958984,-0.019958496
7203,19849649631364,245.36917,-8.808025,64.22652,0.0108131433404009,0.000384320755827785,64408.6567621999,0.103986265152667,0.0196041004850461,253.788606446783,-0.02781868,0.040072381,0.020970345,0.0071105956,0.0057525634,0.000610350999999999,FALSE,-0.072402,-0.064925194,0.036821365,0.0019836426,0.002456665,-0.019348145
7204,19849654971940,245.36996,-8.812464,64.22181,0.013603530042402,0.000398580675674558,64408.517671829,0.116634171846856,0.0199644853596219,253.78833241863,0.03382206,-0.045140026,-0.0359463688,0.0059967044,0.003631592,0.002090455,FALSE,-0.03857994,-0.11006522,0.0008749962,0.007980347,0.006088257,-0.01725769
7205,19849659580094,245.3626,-8.810751,64.21929,0.0117208400295615,0.000446388510596275,64404.5520200481,0.108262828475712,0.021127908334624,253.780519386434,0.009953498,0.03070658,-0.0687246322,0.004989624,0.0012359618,0.002273559,FALSE,-0.028626442,-0.07935864,-0.067849636,0.012969971,0.0073242188,-0.014984131
7206,19849664584977,245.36229,-8.814673,64.2196,0.00556626194833584,0.000443965681854582,64404.508838301,0.0746073853471347,0.0210704931564162,253.780434309466,-0.009042738,0.021061602,0.040486336,0.002532959,-0.0010833741,0.002151489,FALSE,-0.03766918,-0.058297038,-0.0273633,0.01550293,0.0062408447,-0.012832642
7207,19849669559342,245.37363,-8.819654,64.218155,0.0068962386137117,0.000435694598545504,64409.9760276606,0.0830435946579368,0.0208732986982294,253.791205575884,-0.03023911,0.013840138,0.044921398,0.001449585,-0.001083374,0.0018005375,FALSE,-0.06790829,-0.0444569,0.017558098,0.016952515,0.0051574707,-0.0110321045
7208,19849674533707,245.37213,-8.825063,64.2143,0.0116494229878258,0.000473211273438573,64408.8402421809,0.107932492734236,0.0217534198101947,253.788967928436,0.01249886,-0.03111309,-0.071115494,0.001770019,-0.000320434699999999,0.0010681155,FALSE,-0.05540943,-0.07556999,-0.053557396,0.018722534,0.004837036,-0.009963989
7209,19849679508073,245.36032,-8.828587,64.21159,0.00857423493566192,0.000524566487038327,64402.7588692471,0.0925971648359814,0.0229034164927053,253.776986484683,0.033717154,-0.01436823,0.0497107506,0.001052856,0.0025177003,0.001052856,FALSE,-0.021692276,-0.08993822,-0.0038466454,0.01977539,0.0073547363,-0.008911133
7210,19849686374528,245.34383,-8.829976,64.209015,0.00464332810468297,0.000649917418875933,64394.3610024997,0.0681419702142738,0.0254934779674318,253.760440184241,0.0169878006,0.02603572,-0.0193409916,0.000717163999999999,0.0056152347,0.001052857,FALSE,-0.0047044754,-0.0639025,-0.023187637,0.020492554,0.012969971,-0.007858276
7211,19849691409928,245.34079,-8.834173,64.20201,0.00174762762292969,0.000834607289548994,64392.0439384581,0.0418046363807855,0.028889570601672,253.755874687579,-0.0089740756,0.030487838,0.044258594,-0.000427245999999999,0.006393432,0.000305175400000001,FALSE,-0.013678551,-0.033414662,0.021070957,0.020065308,0.019363403,-0.0075531006
7212,19849696445328,245.3519,-8.84938,64.19187,0.00599873399972709,0.0010855155866425,64396.4625340913,0.0774514944964078,0.0329471635598955,253.76458092904,-0.013501167,0.098661062,0.010597706,-0.000640870000000002,0.005813599,-0.0010681154,FALSE,-0.027179718,0.0652464,0.031668663,0.019424438,0.025177002,-0.008621216
7213,19849701480729,245.36224,-8.862596,64.18327,0.00211260135561946,0.00134278389710224,64400.6665735697,0.0459630433676825,0.0366440158430028,253.772864139509,0.02684116362,-0.022561666,-0.04871273,-0.001327514,0.005172729,-0.001083374,FALSE,-0.00033855438,0.042684734,-0.017044067,0.018096924,0.030349731,-0.00970459
7214,19849706516129,245.35852,-8.872402,64.17378,0.000711563672123733,0.00148795594474673,64397.7968933284,0.0266751508360071,0.0385740320001258,253.767210043631,-0.01581287362,-0.031851709,-0.001213551,-0.001876831,0.002792359,-0.001541138,FALSE,-0.016151428,0.010833025,-0.018257618,0.016220093,0.03314209,-0.011245728
7215,19849711551530,245.36844,-8.88428,64.16548,0.006516903706084,0.00166549488140607,64401.8106027824,0.0807273417503884,0.0408104751431059,253.775118171152,0.005680084,0.003744483,-0.060449122,-0.000442505000000003,0.0025177,-0.000793457000000001,FALSE,-0.010471344,0.014577508,-0.07870674,0.015777588,0.03565979,-0.012039185
7216,19849716586930,245.37473,-8.893132,64.154175,0.00265766505656287,0.00166140905417323,64403.604089273,0.0515525465574968,0.0407603858442635,253.778651760295,0.031493187,0.018129528,0.112559317,-0.002761841,0.00149536,0.001480103,FALSE,0.021021843,0.032707036,0.033852577,0.013015747,0.03715515,-0.010559082
