"DownTime","EventTime","Keypress","WindowSize","id"
1.3506305e+13,1.3506371e+13,"KEYCODE_1",13,332
1.3506822e+13,1.350688e+13,"KEYCODE_6",11,333
1.3507339e+13,1.3507397e+13,"KEYCODE_2",12,334
1.3507797e+13,1.3507863e+13,"KEYCODE_5",13,335
1.3508322e+13,1.3508397e+13,"KEYCODE_3",15,336
1.3508797e+13,1.3508872e+13,"KEYCODE_8",15,337
1.3509331e+13,1.3509405e+13,"KEYCODE_4",15,338
1.3509898e+13,1.3509947e+13,"KEYCODE_7",10,339
1.3510457e+13,1.3510556e+13,"KEYCODE_0",20,340
1.3511074e+13,1.3511132e+13,"KEYCODE_2",11,341
1.3511591e+13,1.3511666e+13,"KEYCODE_1",15,342
1.3512134e+13,1.35122e+13,"KEYCODE_9",13,343
1.3512651e+13,1.3512717e+13,"KEYCODE_3",13,344
1.351321e+13,1.3513259e+13,"KEYCODE_6",10,345
1.3513727e+13,1.3513809e+13,"KEYCODE_7",16,346
1.3514219e+13,1.3514285e+13,"KEYCODE_5",13,347
1.3514711e+13,1.3514786e+13,"KEYCODE_4",15,348
1.351537e+13,1.3515461e+13,"KEYCODE_0",18,349
1.3515862e+13,1.3515945e+13,"KEYCODE_8",17,350
1.3516354e+13,1.3516412e+13,"KEYCODE_5",12,351
1.3516888e+13,1.3516921e+13,"KEYCODE_3",7,352
1.3517388e+13,1.3517471e+13,"KEYCODE_4",17,353
1.3517955e+13,1.3518038e+13,"KEYCODE_1",16,354
1.3518505e+13,1.3518588e+13,"KEYCODE_0",16,355
1.3519055e+13,1.3519163e+13,"KEYCODE_7",21,356
1.3519614e+13,1.3519663e+13,"KEYCODE_2",10,357
1.3520122e+13,1.3520171e+13,"KEYCODE_6",9,358
1.3520672e+13,1.3520738e+13,"KEYCODE_8",13,359
1.3521213e+13,1.3521246e+13,"KEYCODE_9",7,360
1.3521705e+13,1.3521779e+13,"KEYCODE_3",14,361
1.3522205e+13,1.3522254e+13,"KEYCODE_8",10,362
1.352268e+13,1.3522746e+13,"KEYCODE_9",13,363
1.3523189e+13,1.3523263e+13,"KEYCODE_2",14,364
1.3523722e+13,1.3523813e+13,"KEYCODE_4",18,365
1.3524255e+13,1.3524305e+13,"KEYCODE_5",9,366
1.352478e+13,1.3524871e+13,"KEYCODE_0",18,367
1.3525389e+13,1.3525455e+13,"KEYCODE_7",13,368
1.3525922e+13,1.3525963e+13,"KEYCODE_6",8,369
1.3526414e+13,1.3526505e+13,"KEYCODE_1",18,370
1.3526964e+13,1.3527021e+13,"KEYCODE_2",11,371
1.3527481e+13,1.3527563e+13,"KEYCODE_1",16,372
1.3527989e+13,1.3528056e+13,"KEYCODE_8",13,373
1.3528498e+13,1.3528573e+13,"KEYCODE_3",14,374
1.3528982e+13,1.3529073e+13,"KEYCODE_7",18,375
1.3529457e+13,1.3529532e+13,"KEYCODE_4",15,376
1.3530025e+13,1.3530132e+13,"KEYCODE_0",20,377
1.353055e+13,1.3530616e+13,"KEYCODE_9",13,378
1.35311e+13,1.3531166e+13,"KEYCODE_6",13,379
1.3531584e+13,1.3531658e+13,"KEYCODE_5",15,380
1.35321e+13,1.3532133e+13,"KEYCODE_8",7,381
1.3532625e+13,1.3532683e+13,"KEYCODE_2",12,382
1.3533167e+13,1.3533258e+13,"KEYCODE_0",17,383
1.3533717e+13,1.35338e+13,"KEYCODE_1",16,384
1.353425e+13,1.35343e+13,"KEYCODE_3",10,385
1.3534767e+13,1.3534842e+13,"KEYCODE_6",15,386
1.3535284e+13,1.3535342e+13,"KEYCODE_5",12,387
1.3535792e+13,1.3535867e+13,"KEYCODE_9",15,388
1.3536351e+13,1.3536417e+13,"KEYCODE_4",13,389
1.3536859e+13,1.353695e+13,"KEYCODE_7",17,390
1.3537401e+13,1.3537483e+13,"KEYCODE_0",17,391
1.3537968e+13,1.3538075e+13,"KEYCODE_7",21,392
1.3538534e+13,1.35386e+13,"KEYCODE_3",13,393
1.3539018e+13,1.3539092e+13,"KEYCODE_5",15,394
1.3539593e+13,1.3539659e+13,"KEYCODE_9",13,395
1.354016e+13,1.3540226e+13,"KEYCODE_6",13,396
1.354071e+13,1.3540784e+13,"KEYCODE_2",14,397
1.3541393e+13,1.3541501e+13,"KEYCODE_1",21,398
1.3541943e+13,1.3542026e+13,"KEYCODE_4",16,399
1.3542493e+13,1.3542584e+13,"KEYCODE_8",17,400
1.3543118e+13,1.3543218e+13,"KEYCODE_3",20,401
1.3543702e+13,1.3543784e+13,"KEYCODE_9",16,402
1.3544427e+13,1.3544526e+13,"KEYCODE_7",19,403
1.3544985e+13,1.3545077e+13,"KEYCODE_4",18,404
1.3545552e+13,1.3545643e+13,"KEYCODE_5",18,405
1.3546152e+13,1.3546252e+13,"KEYCODE_1",20,406
1.3546761e+13,1.354686e+13,"KEYCODE_0",20,407
1.3547369e+13,1.3547419e+13,"KEYCODE_2",10,408
1.3547919e+13,1.3547977e+13,"KEYCODE_6",12,409
1.354842e+13,1.3548494e+13,"KEYCODE_8",15,410
1.3549012e+13,1.3549078e+13,"KEYCODE_8",13,411
