Timestamp,x,y,z,alpha,beta,gamma,keyPressed,key_x,key_y
1481470250730,0.23690319,0.08638367,-0.66456795,-0.05911255,0.09767151,-0.02935791,null,0,0
1481470250735,-0.014458656,0.08626425,-0.61372566,-0.07104492,0.06639099,-0.036956787,null,0,0
1481470250740,-0.013843536,0.055773884,-0.30458498,-0.084243774,0.0410614,-0.039794922,null,0,0
1481470250745,-0.02526474,0.07525012,0.072149515,-0.09712219,0.026977539,-0.040481567,null,0,0
1481470250750,-0.18790054,0.002435416,0.05320072,-0.09939575,0.012023926,-0.039230347,null,0,0
1481470250755,-0.22421074,-0.041820765,0.11185527,-0.09687805,-0.0010528564,-0.03540039,null,0,0
1481470250760,-0.17756367,-0.14772329,0.1440723,-0.09260559,-0.0036315918,-0.023468018,null,0,0
1481470250765,-0.10986233,-0.16125628,0.26859522,-0.08758545,0.003768921,-0.011581421,null,0,0
1481470250770,-0.17466354,-0.19648805,0.2676487,-0.07829285,0.020111084,-0.0037384033,null,0,0
1481470250776,-0.1373148,-0.19673502,0.20319581,-0.065093994,0.030303955,0.0062561035,null,0,0
1481470250780,-0.16400719,-0.26378524,0.16516471,-0.05014038,0.028549194,0.017440796,null,0,0
1481470250786,-0.032315254,-0.20095623,0.18168712,-0.035186768,0.02835083,0.025039673,null,0,0
1481470250791,0.09585953,-0.124821305,0.20020533,-0.02079773,0.026153564,0.028060913,null,0,0
1481470250797,0.10247803,-0.042405993,-0.034333944,-0.009429932,0.019058228,0.029449463,null,0,0
1481470250800,0.07359123,0.07715839,-0.15609026,-7.4768066E-4,0.014846802,0.026748657,null,0,0
1481470250806,0.108677864,0.11806232,-0.21071196,0.0018310547,0.015731812,0.021591187,null,0,0
1481470250811,0.09857559,0.11651078,-0.23663878,-0.0038909912,0.014968872,0.01675415,null,0,0
1481470250816,0.11912918,0.04931754,-0.050181627,-0.011367798,0.0099487305,0.009475708,null,0,0
1481470250821,0.028409004,-0.0121876,0.10598874,-0.01864624,0.0012207031,0.0030670166,null,0,0
1481470250826,0.049279213,-0.08940533,0.17559052,-0.024490356,-0.0072631836,-0.0027770996,null,0,0
1481470250831,0.02516079,0.0018201172,0.17392778,-0.027694702,-0.008407593,-0.0059814453,null,0,0
1481470250837,-0.010354996,0.023972154,0.23192215,-0.030715942,0.0018310547,-0.00881958,null,0,0
1481470250841,0.013706207,0.05549121,0.2642734,-0.033416748,0.019607544,-0.009887695,null,0,0
1481470250846,0.018904686,0.13874131,0.24981141,-0.03781128,0.035079956,-0.010772705,null,0,0
1481470250851,-0.060738564,0.17403606,-0.073231936,-0.037628174,0.04737854,-0.010375977,null,0,0
1481470250856,-0.031061172,0.11922678,0.012628794,-0.036743164,0.05505371,-0.008239746,null,0,0
1481470250861,-0.053646088,0.010442972,0.06210494,-0.036361694,0.052246094,-0.00592041,null,0,0
1481470250866,-0.06440544,-0.11184639,0.061075926,-0.033493042,0.041610718,-0.002532959,null,0,0
1481470250871,-0.06811237,-0.110703796,0.06910062,-0.026885986,0.03187561,0.0019226074,null,0,0
1481470250876,-0.048169136,-0.07689664,0.065247774,-0.019180298,0.028442383,0.007293701,null,0,0
1481470250881,-0.061310768,-0.10985038,-0.020861864,-0.010635376,0.034561157,0.012634277,null,0,0
1481470250886,0.01312542,-0.010663003,0.04279661,-0.0028686523,0.043395996,0.01777649,null,0,0
1481470250891,0.037409782,0.04264024,-0.07810712,0.0012207031,0.047576904,0.02166748,null,0,0
1481470250897,-0.025966644,-0.08397883,-0.24085522,0.005004883,0.044174194,0.023025513,null,0,0
1481470250901,-0.004078865,-0.15983167,-0.19758606,0.010437012,0.029907227,0.020111084,null,0,0
1481470250906,0.08117771,-0.14987326,-0.13867664,0.011123657,0.015625,0.014480591,null,0,0
1481470250911,0.031077385,-0.09740731,-0.11121583,0.009857178,0.009414673,0.012542725,null,0,0
1481470250917,0.023814201,-0.07361293,-0.032244682,0.007522583,0.0044555664,0.011474609,null,0,0
1481470250921,6.0081482E-5,-0.016868412,0.046001673,0.0043182373,0.0018463135,0.010406494,null,0,0
1481470250926,-0.049448967,-0.026550382,0.010348558,7.324219E-4,0.0022277832,0.009140015,null,0,0
1481470250931,0.019503593,-0.05253434,0.09310484,-0.0042266846,0.0041656494,0.0072021484,null,0,0
1481470250937,-0.03720379,-0.026311219,0.14220405,-0.0070343018,0.005432129,0.0063171387,null,0,0
1481470250941,-0.08863926,-0.023970068,0.18404007,-0.008102417,0.008544922,0.0069122314,null,0,0
1481470250947,-0.019083023,-0.04310164,0.1457634,-0.008010864,0.017181396,0.010299683,null,0,0
1481470250951,-0.011288643,-9.572804E-4,0.009198666,-0.002670288,0.030288696,0.014389038,null,0,0
1481470250957,0.03196335,0.0736931,-0.109390974,0.0022888184,0.03892517,0.01739502,null,0,0
1481470250962,-0.0029964447,0.07210693,-0.20797658,0.0050964355,0.042816162,0.019134521,null,0,0
1481470250967,0.05906391,0.07059747,-0.23035502,0.0057678223,0.042770386,0.018539429,null,0,0
1481470250972,0.11568642,0.07172519,-0.2767172,0.004135132,0.03225708,0.014785767,null,0,0
1481470250977,0.114933014,-0.0118587315,-0.54530406,4.4250488E-4,0.017425537,0.008972168,null,0,0
1481470250982,0.080807686,-0.22908032,-0.054875374,-8.239746E-4,1.8310547E-4,0.005355835,null,0,0
1481470250987,0.011089325,-0.28617057,0.16806293,-0.0019836426,-0.027709961,5.950928E-4,null,0,0
1481470250992,-0.02300167,-0.19416922,0.2487762,0.0024414063,-0.057174683,-7.4768066E-4,null,0,0
1481470250998,-0.08289337,-0.13613072,0.06878543,0.012054443,-0.067993164,5.79834E-4,KEYCODE_2,1048,575
1481470251002,-0.024263382,-0.09982869,0.24200273,0.0206604,-0.06932068,-0.0015563965,null,0,0
1481470251007,0.015079498,0.023545265,0.35503078,0.024932861,-0.06578064,-0.003692627,null,0,0
1481470251012,0.03779316,0.0018638074,0.22464561,0.029006958,-0.054367065,-0.005218506,null,0,0
1481470251017,0.04645157,-0.06682488,0.044303417,0.032211304,-0.03514099,-0.0051574707,null,0,0
1481470251022,0.0481472,-0.04742694,-0.13158321,0.034820557,-0.018325806,-0.009429932,null,0,0
1481470251027,0.09705448,4.361868E-4,-0.24927163,0.033615112,-0.013717651,-0.014099121,null,0,0
1481470251032,0.09823227,-0.029656231,-0.311975,0.027404785,-0.018127441,-0.020111084,null,0,0
1481470251039,0.03311348,-0.11119783,-0.22125673,0.022064209,-0.028533936,-0.023986816,null,0,0
1481470251042,0.0061149597,-0.14461657,-0.20972538,0.016113281,-0.041625977,-0.026321411,null,0,0
1481470251048,-0.053812027,-0.13032928,-0.0498569,0.007980347,-0.05003357,-0.029129028,null,0,0
1481470251052,-0.14157963,-0.06885743,0.10866094,0.0015563965,-0.0524292,-0.029785156,null,0,0
1481470251058,-0.1364975,-0.11881822,0.14092922,-0.0038452148,-0.050125122,-0.028717041,null,0,0
1481470251062,-0.15254307,-0.13542351,0.0907712,-0.004501343,-0.041885376,-0.027252197,null,0,0
1481470251067,-0.06677532,-0.121394396,0.0627718,-0.0034332275,-0.030532837,-0.023849487,null,0,0
1481470251072,-0.1303196,-0.121878386,0.0848968,-0.0019683838,-0.02192688,-0.019577026,null,0,0
1481470251078,-0.14608574,-0.07551342,0.2225678,0.002243042,-0.018661499,-0.014694214,null,0,0
1481470251082,-0.19478607,-0.0134859085,0.37077808,0.011795044,-0.020126343,-0.0076141357,null,0,0
1481470251087,-0.11089802,0.087650985,0.26980066,0.025939941,-0.022521973,-0.0020599365,null,0,0
1481470251092,-0.11502266,0.15911832,0.2334075,0.040237427,-0.021652222,0.004333496,null,0,0
1481470251099,-0.10020065,0.19182304,0.21622896,0.05038452,-0.021240234,0.010559082,null,0,0
1481470251102,-0.05005741,0.10597637,0.25119805,0.052978516,-0.019317627,0.015701294,null,0,0
1481470251107,-0.019172668,0.065469205,0.23640466,0.052978516,-0.017837524,0.02017212,null,0,0
1481470251113,0.06815815,0.060548663,0.19117093,0.05317688,-0.014831543,0.02468872,null,0,0
